provider,bnt
​0x1C71c51dCa758E865C12a52536A9c03c0B8CEAd7,21832.61
​0x728ff47Ef9F5C107e6964D0499f3968DafCa4E0A,14969.78
​0xE84Eb5f8AC725a2EFd9018Fe9BFb50B34a27e3Ed,10080.73
​0xD965952823153E5CBc611be87e8322cfc329f056,9775.56
​0x984B94B4c53d1B041D4D6f840daEfE0E33c7B3Ba,5955.82
​0x510b10184853D3999Ab01CBCE24EEBf4E406829A,4512.41
​0x67e5ab5b573F01030a1076dDA7A79Ef0f31A1bFa,2307.44
​0x68B4683475747E28a83596e94b58187d452099Cf,1838.95
​0x064D3230f753D8C14e06Cf491fE2F1a3D2CCD5DD,1042.80
​0xECB032DF1ab4Fb7cDD486Afbd5D1445c7b2e220F,975.65
​0x09e329413234E621aA810481b271ab80e1fB4AE4,947.99
​0x5eDA2dc136986Fc88D4DF5696bC464f96A20268A,786.79
Other,3596.86
