provider,bnt
​0x62FFf9495f2a7da415Efb06961278EC824bef124,1225.21
​0x09e329413234E621aA810481b271ab80e1fB4AE4,1046.71
​0xafc5B78Ad139001b37B0ffaE6d4F071558a70C08,983.92
​0x5Dc021152f33193EBd01F9b578Fd866350c709AE,734.37
​0x03C2Bc72A3E007179E54fFb4563cc235beC8151a,566.57
​0x59e3687e15f1B11844a91E6B5F20c5706d1919F9,528.60
​0xeCCB4ed81377d9b383a8B4c54D8cE15dF3D173cA,507.46
​0x84949ecFe81964432225E4E3CC3a163AdEcF0e7D,483.80
​0x77a01c716980169a051504F4E92Ba25556BeFD0a,460.84
​0xECB032DF1ab4Fb7cDD486Afbd5D1445c7b2e220F,436.06
​0x68B4683475747E28a83596e94b58187d452099Cf,427.89
​0xD0Ccf7d3DA82bD1BdE58cfcaF8fDCc53F1435140,420.23
​0x476e23bFc5415397021a74e525640b328A12b81e,362.09
​0x5eDA2dc136986Fc88D4DF5696bC464f96A20268A,350.92
​0x94D12d7b33a8a745C35a1dAc6C5c4a5D60a0259a,328.91
​0xFb12EcC63Db1e56B4ecf420b729058D9971a5e37,245.24
​0xE209C34B5b9299Ba72eC1bd9a7a8d2Cb5e74d531,200.60
​0x4677C06757a2059c7b750fd5b59c2E65Bf1851B3,177.91
​0xfb0f37C0456d60eDEd9b64442dFB0C4847CdD06A,171.21
​0xB22AE2b6938EA3FC0BF0340f0bb21BBf40CD446D,160.41
​0xFB40932271Fc9Db9DbF048E80697E2Da4AA57250,156.08
​0x05F379a0C3Db1413AE8B539716d2f8Dcf686930B,150.31
​0x064D3230f753D8C14e06Cf491fE2F1a3D2CCD5DD,136.11
​0x98eBbD38646499aEA83f12b16EEdDd90bCD21a37,134.97
Other,1201.14
