timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,Other
1532558514000,,,,,
1532632522000,,732.88,,,
1532706031000,,207.54,,,
1532778335000,,1536.86,,,
1532849626000,,,,,
1532921962000,,434.61,,,
1532994160000,,2844.79,,,
1533067467000,,979.87,,,
1533141286000,,1351.97,,,
1533214941000,,30035.24,,,
1533288091000,,6926.97,,,
1533360489000,,3959.11,,,
1533432998000,,724.22,,,
1533505953000,,845.20,,,
1533578575000,,3947.31,,,
1533651925000,,799.52,,,
1533724916000,,1324.88,,,
1533797508000,,3304.46,,,
1533870537000,,1314.04,,,
1533943288000,,2257.71,,,
1534016212000,,4928.69,,,
1534090711000,,714.46,,,
1534163628000,,1143.85,,,
1534236905000,,6644.65,,,
1534309134000,,9602.97,,,
1534381971000,,1105.23,,,
1534454722000,,3795.74,,,
1534527690000,,6524.46,,,
1534602524000,,5381.29,,,
1534675224000,,3905.02,,,
1534747701000,,514.72,,,
1534820720000,,7049.89,,,
1534892931000,,5604.62,,,
1534965694000,,1183.08,,,
1535039951000,,1975.46,,,
1535112747000,,1493.47,,,
1535185292000,,878.72,,,
1535257864000,,417.87,,,
1535331135000,,992.77,,,
1535403660000,,19.00,,,
1535477339000,,1465.00,,,
1535550907000,,5841.81,,,
1535623054000,,2854.74,,,
1535695540000,,170.58,,,
1535768227000,,284.11,,,
1535842094000,,1006.99,,,
1535914482000,,557.01,,,
1535987210000,,1990.68,,,
1536059758000,,1106.35,,,
1536132247000,,9474.58,,,
1536204432000,,6665.16,,,
1536276091000,,4387.51,,,
1536348963000,,1869.96,,,
1536421628000,,34.62,,,
1536495403000,,1325.53,,,
1536568351000,,557.79,,,
1536639507000,,1734.93,,,
1536711510000,,4384.84,,,
1536783125000,,3345.78,,,
1536854753000,,657.89,,,
1536925887000,,896.06,,,
1536997175000,,1251.23,,,
1537069009000,,6281.97,,,
1537139381000,,1066.84,,,
1537210708000,,2898.10,,,
1537282705000,,2040.72,,,
1537353835000,,342.06,,,
1537424834000,,1772.40,,,
1537497361000,,1683.03,,,
1537568218000,,1986.07,,,
1537639728000,,472.02,,,
1537710354000,,803.07,,,
1537781366000,,781.41,,,
1537852317000,,2656.98,,,
1537922897000,,2207.21,,,
1537993834000,,573.30,,,
1538065170000,,114.57,,,
1538135659000,,6021.41,,,
1538207020000,,,,,
1538277094000,,900.23,,,
1538348235000,,3547.72,,,
1538418856000,,298.53,,,
1538489640000,,1695.34,,,
1538560179000,,6472.67,,,
1538631256000,,22.55,,,
1538700722000,,1414.48,,,
1538771727000,,1213.01,,,
1538841320000,,772.33,,,
1538911026000,,2500.16,,,
1538980216000,,1356.66,,,
1539049430000,,7510.59,,,
1539120813000,,1933.55,,,
1539190730000,,1389.07,,,
1539260859000,,1771.17,,,
1539330275000,,3096.12,,,
1539400992000,,,,,
1539470509000,,3.05,,,
1539541019000,,,,,
1539611779000,,11.90,,,
1539682267000,,1106.74,,,
1539752649000,,183.92,,,
1539822973000,,,,,
1539893301000,,240.31,,,
1539964665000,,1083.03,,,
1540035461000,,820.98,,,
1540105380000,,243.69,,,
1540175783000,,552.37,,,
1540247628000,,32.01,,,
1540317582000,,,,,
1540388140000,,259.35,,,
1540458691000,,,,,
1540528530000,,1181.92,,,
1540599331000,,7974.93,,,
1540669979000,,,,,
1540740577000,,6.17,,,
1540812281000,,1702.39,,,
1540882459000,,2368.44,,,
1540953530000,,307.19,,,
1541023512000,,5954.03,,,
1541094934000,,3117.15,,,
1541166376000,,2936.25,,,
1541237446000,,1048.94,,,
1541307140000,,,,,
1541378245000,,4025.95,,,
1541449770000,,963.39,,,
1541521033000,,5339.00,,,
1541592294000,,7065.39,,,
1541662439000,,2334.24,,,
1541733218000,,7485.38,,,
1541804044000,,,,,
1541874538000,,667.91,,,
1541945087000,,797.78,,,
1542016384000,,1365.72,,,
1542085646000,,4860.96,,,
1542156560000,,,,,
1542228035000,,,,,
1542298725000,,688.29,,,
1542368660000,,23.41,,,
1542440006000,,1319.60,,,
1542510859000,,1513.61,,,
1542580287000,,,,,
1542652239000,,171.40,,,
1542723747000,,1902.73,,,
1542795271000,,1966.85,,,
1542866477000,,2558.31,,,
1542936877000,,4071.26,,,
1543007269000,,5912.50,,,
1543077801000,,549.47,,,
1543148698000,,1968.29,,,
1543218413000,,2435.31,,,
1543289948000,,849.53,,,
1543362296000,,,,,
1543434172000,,1517.08,,,
1543504581000,,836.48,,,
1543575859000,,,,,
1543646812000,,6075.09,,,
1543718667000,,,,,
1543789997000,,33.63,,,
1543862329000,,569.58,,,
1543932926000,,2007.60,,,
1544005220000,,400.78,,,
1544076879000,,1369.23,,,
1544148198000,,6386.17,,,
1544220287000,,2376.26,,,
1544291964000,,4533.55,,,
1544363331000,,,,,
1544433268000,,899.62,,,
1544503865000,,9598.47,,,
1544576147000,,26505.90,,,
1544647316000,,6784.73,,,
1544718309000,,,,,
1544789693000,,2134.54,,,
1544860802000,,3903.05,,,
1544931651000,,1417.16,,,
1545003100000,,8205.96,,,
1545076575000,,28702.57,,,
1545151038000,,3187.14,,,
1545224266000,,13795.92,,,
1545298309000,,5742.84,,,
1545371765000,,4441.63,,,
1545444975000,,2358.07,,,
1545518580000,,1800.65,,,
1545592165000,,5805.59,,,
1545664945000,,13472.57,,,
1545737520000,,2950.08,,,
1545810031000,,3599.20,,,
1545883479000,,3459.96,,,
1545956158000,,208.99,,,
1546029906000,,7966.46,,,
1546103201000,,697.41,,,
1546175667000,,2395.36,,,
1546247915000,,1367.88,,,
1546320878000,,902.68,,,
1546394518000,,,,,
1546466952000,,1098.77,,,
1546544000000,,,,,
1546622719000,,2804.45,,,
1546699391000,,5600.05,,,
1546776424000,,,,,
1546854270000,,6675.49,,,
1546931422000,,,,,
1547008514000,,,,,
1547086233000,,7068.84,,,
1547163262000,,18561.15,,,
1547240860000,,4830.71,,,
1547318473000,,,,,
1547396030000,,5652.88,,,
1547472692000,,655.50,,,
1547549533000,,,,,
1547626847000,,2870.36,,,
1547704633000,,1057.57,,,
1547781728000,,,,,
1547859045000,,,,,
1547934719000,,23.87,,,
1548012002000,,561.14,,,
1548095978000,,,,,
1548180548000,,1407.35,,,
1548266597000,,782.77,,,
1548351788000,,881.55,,,
1548436981000,,,,,
1548521909000,,343.75,,,
1548607305000,,5299.21,,,
1548695090000,,69.07,,,
1548784331000,,,,,2071.03
1548872168000,,,,8316.52,
1548959406000,,,,1733.32,
1549048111000,,,,7.45,
1549136870000,,,,1078.82,
1549225465000,,,,3758.43,
1549312025000,,,,,
1549400397000,,,,768.44,
1549488758000,,,,5802.89,
1549576572000,,,,1437.77,
1549664587000,,,,128.70,
1549752194000,,,,252.31,
1549853106000,,,,371.47,
1549954624000,,,,12.02,
1550057114000,,,,919.19,
1550160727000,,,,8.30,
1550264379000,,,,710.15,
1550367666000,,,,7478.87,
1550471025000,,,,12771.14,
1550573262000,,,,24621.07,
1550675116000,,,,13740.56,
1550776436000,,,,1928.74,
1550878296000,,,,1599.59,
1550978228000,,,,3458.84,
1551078586000,,,,1476.59,
1551181750000,,,,4048.49,
1551281880000,,,,5373.11,
1551383524000,,,,5634.67,
1551459490000,,,,1242.21,
1551527005000,,,,585.84,
1551595407000,,,,1330.74,
1551662535000,,,,2410.23,
1551730739000,,,,1295.93,
1551798808000,,,,395.99,
1551865512000,,,,3819.68,
1551932302000,,,,8785.21,
1551999434000,,,,11758.49,
1552066766000,,,,6617.83,
1552134613000,,,,8799.51,
1552201544000,,,,10634.35,
1552268725000,,,,437.54,
1552336045000,,,,13576.99,
1552403003000,,,,33638.91,
1552470545000,,,,10931.85,
1552537130000,,,,24866.44,
1552605435000,,,,14111.37,
1552671597000,,,,681.30,
1552738081000,,,,4736.20,
1552805598000,,,,5187.99,
1552872817000,,,,2365.13,
1552940619000,,,,6505.85,
1553008742000,,,,22696.07,
1553075047000,,,,3442.50,
1553142018000,,,,8268.75,
1553209653000,,,,6006.87,
1553277395000,,,,8212.64,
1553344849000,,,,1163.66,
1553411888000,,,,1362.49,
1553478679000,,,,1252.42,
1553546051000,,,,6375.72,
1553614241000,,,,477.82,
1553681868000,,,,392.19,
1553749152000,,,,2965.93,
1553816450000,,,,,
1553884334000,,,,4416.52,
1553953102000,,,,303.66,
1554019932000,,,,234.48,
1554086578000,,,,,
1554153946000,,,,263.66,
1554222678000,,,,5057.20,
1554290288000,,,,2650.24,
1554358137000,,,,1870.54,
1554425436000,,,,796.04,
1554493384000,,,,659.74,
1554559454000,,,,925.27,
1554626505000,,,,,
1554693632000,,,,760.62,
1554760411000,,,,1006.03,
1554827345000,,,,96.11,
1554894627000,,,,254.66,
1554961787000,,,,1001.97,
1555029655000,,,,12019.33,
1555096914000,,,,4806.63,
1555163830000,,,,584.36,
1555230712000,,,,177.92,
1555297496000,,,,69.90,
1555364629000,,,,2081.84,
1555431616000,,,,56.34,
1555500111000,,,,,
1555566912000,,,,244.68,
1555634415000,,,,3476.77,
1555701653000,,,,2646.34,
1555769476000,,,,499.87,
1555837014000,,,,148.81,
1555904097000,,,,13023.04,
1555970540000,,,,8119.61,
1556038531000,,,,1962.80,
1556107407000,,,,36.87,
1556173928000,,,,1106.39,
1556241200000,,,,7315.20,
1556308450000,,,,1731.49,
1556374991000,,,,785.21,
1556442410000,,,,136.46,
1556509346000,,,,,
1556576806000,,,,1053.53,
1556643967000,,,,3034.47,
1556711534000,,,,529.25,
1556778136000,,,,789.95,
1556845234000,,,,1426.66,
1556913235000,,,,7738.09,
1556979262000,,,,18300.47,
1557047080000,,,,1985.21,
1557114439000,,,,1532.95,
1557182260000,,,,351.03,
1557249608000,,,,9186.52,
1557318081000,,,,,
1557385675000,,,,587.47,
1557453624000,,,,3549.84,
1557521031000,,,,5235.29,
1557588222000,,,,12010.19,
1557655069000,,,,3815.92,
1557722567000,,,,3491.41,
1557790675000,,,,2981.53,
1557857642000,,,,1435.15,
1557924398000,,,,2243.49,
1557992058000,,,,6265.69,
1558059268000,,,,5621.78,
1558126732000,,,,17379.54,
1558194179000,,,,1279.02,
1558262228000,,,,7206.17,
1558329711000,,,,2441.72,
1558397321000,,,,21849.13,
1558466162000,,,,6413.09,
1558533192000,,,,4616.91,
1558601405000,,,,7448.60,
1558669169000,,,,4027.79,
1558736680000,,,,1724.00,
1558803191000,,,,866.23,
1558871016000,,,,1330.31,
1558937464000,,,,,
1559004601000,,,,7504.99,
1559072957000,,,,1773.62,
1559139434000,,,,31662.58,
1559206701000,,,,373.72,
1559274975000,,,,5262.35,
1559341699000,,,,17069.31,
1559409902000,,,,1717.49,
1559477256000,,,,425.00,
1559545066000,,,,2652.57,
1559613008000,,,,8443.11,
1559680478000,,,,11421.98,
1559748180000,,,,4230.29,
1559815480000,,,,2181.51,
1559882780000,,,,858.27,
1559950737000,,,,,
1560018665000,,,,2437.65,
1560086804000,,,,3338.48,
1560153643000,,,,5767.86,
1560221421000,,,,1046.87,
1560289199000,,,,8956.18,
1560356878000,,,,4.70,
1560423930000,,,,4972.78,
1560491307000,,,,384.84,
1560558991000,,,,3776.69,
1560626789000,,,,7807.02,
1560694377000,,,,732.95,
1560761916000,,,,1824.39,
1560829590000,,,,781.93,
1560897457000,,,,15158.39,
1560964413000,,,,4788.56,
1561032579000,,,,8705.69,
1561100149000,,,,15471.52,
1561168282000,,,,22941.66,
1561234762000,,,,4350.97,
1561302398000,,,,27479.38,
1561369418000,,,,608.85,
1561436953000,,,,787.98,
1561504004000,,,,19351.80,
1561570799000,,,,9636.51,
1561638755000,,,,21377.83,
1561706755000,,,,12048.36,
1561774045000,,,,3046.25,
1561840989000,,,,10267.97,
1561907952000,,,,6966.82,
1561975491000,,,,5022.33,
1562042620000,,,,21032.39,
1562110262000,,,,7892.65,
1562178137000,,,,8610.31,
1562245083000,,,,201.62,
1562312263000,,,,26.21,
1562380043000,,,,11465.54,
1562446275000,,,,2024.01,
1562513829000,,,,,
1562580710000,,,,598.69,
1562647935000,,,,5722.72,
1562714668000,,,,810.18,
1562782053000,,,,649.87,
1562848961000,,,,36564.09,
1562916876000,,,,3825.23,
1562984792000,,,,1045.08,
1563051887000,,,,,
1563118325000,,,,,
1563185341000,,,,,
1563253666000,,,,3864.09,
1563322130000,,,,2035.01,
1563390506000,,,,3833.72,
1563456683000,,,,1830.18,
1563524083000,,,,1990.17,
1563591824000,,,,473.10,
1563657984000,,,,1854.56,
1563725454000,,,,,
1563792449000,,,,,
1563858874000,,,,,
1563925785000,,,,,
1563992752000,5161.27,,,,
1564060720000,44038.43,,,,
1564128623000,6909.42,,,,
1564194770000,9636.16,,,,
1564261351000,3648.13,,,,
1564329190000,264.49,,,,
1564395991000,,,,,
1564463477000,468.37,,,,
1564530020000,350.85,,,,
1564597821000,54308.33,,,,
1564665039000,68314.63,,,,
1564732022000,78353.22,,,,
1564799107000,5679.85,,,,
1564865751000,5427.64,,,,
1564932781000,5180.35,,,,
1564999286000,34309.84,,,,
1565066439000,3224.04,,,,
1565133760000,109119.08,,,,
1565200774000,389977.96,,,,
1565267861000,91798.89,,,,
1565334762000,87615.27,,,,
1565401917000,98318.86,,,,
1565468754000,50241.55,,,,
1565536629000,3937.83,,,,
1565603145000,6316.59,,,,
1565669720000,7360.08,,,,
1565737101000,8114.46,,,,
1565803734000,2812.70,,,,
1565871010000,20057.82,,,,
1565938594000,9277.64,,,,
1566005643000,18000.36,,,,
1566071734000,10615.09,,,,
1566139968000,8774.34,,,,
1566206924000,5288.16,,,,
1566273958000,4759.36,,,,
1566340899000,1779.03,,,,
1566408719000,23560.95,,,,
1566474986000,5441.93,,,,
1566542876000,20722.51,,,,
1566609532000,3440.18,,,,
1566677699000,23813.43,,,,
1566744845000,35969.85,,,,
