provider,eth
​0x5eA1D56D0ddE1cA5B50c277275855F69edEfA169,2.12
​0x62391b370A4761f7087f83D9d2C8d7bfa91036aB,2.12
​0x84957E6c9F6cCfEd9C35C850c3903732Ed90858a,2.12
​0x1E3934EA7E416F4E2BC5F7d55aE9783da0061475,2.12
​0xf521Bb7437bEc77b0B15286dC3f49A87b9946773,2.12
​0xeEADC5701b5FD25fbcC7FBf04B048CDb1ffF1c65,2.12
​0x21099184E7B0BE245E3eED492288a07dE2C64FD7,2.12
​0x8FC339425b2c5BE02035C00Ef311FDa7d1Fa9aB7,2.12
​0x8a9d49a6e9D037843560091fC280B9Ff9819e462,1.41
​0xf8cD644BaF494d13406187Cf8628754DCA0a10C2,1.41
​0x18aD111b2584b55093B5b4cbcE9374C3a0e8cFeD,1.41
Other,0.02
