provider,eth
​0x9DE2A94581bD5703e93794A63d11249A0D9Ba61d,0.38
​0x2d7846C22511e952F4747737225BF81ad968bbc2,0.35
​0x97e89aF7cBCC1dF347F63fAeb55dedD2F60f27Db,0.18
​0xa5dc5638ADa15472c28580eB38c6B815369FBF57,0.18
​0x12E567418f215FBC98169232aD0c90D98D6C4989,0.08
​0xC01BCf19BC7ABe538DBcA1d35a73EFe3fBD0D657,0.05
​0x65b826111e426a5e754B2E099bdBfc3674Bc495F,0.05
​0x7b7F2157da8c0E749137E4E062A5392B0461bcCB,0.04
​0x479f422fF5d5751647115CCa0B875ebf40f505E8,0.02
​0xCB41A3EC3165775e5eE8D71272C0676F5a920b7B,0.02
Other,0.02
