provider,eth
​0x04270F910Cb26d18Fe353D106a91030Ee9A089fA,212.36
​0x3A44Eb3F751ec2F737F9f9b0b11b5984e8f3D712,57.46
​0xaDFaD9DFc36a22B45E173162588e474e2E37F630,31.27
​0x7311ac35275ce5fC9373FC57ed2f25552E52B277,21.21
​0x339050867D1ecee11a1C10D254E9362c05d5e3Ca,17.10
​0x29c7B44E0584624C1e877d3eE0856520e2851Ba6,13.64
​0x3e0cf03f718520F30300266dcF4DB50bA12d3331,10.92
​0x57DCB0A41A6E858FCE5af493b006CDba7C4b2482,7.84
​0x80658E3657882cFa73fff0eb20c92Aa5E948230C,7.42
​0x4a8B9E2C2940fdd39aceb384654dc59aCB58C337,5.96
​0x0a75728f3A2697045e8C62c7c4Be4597C2E7C254,5.84
​0x6557D92D629E0bD8003b8E12c83835ff3CDB9D6B,4.50
Other,21.13
