provider,eth
​0x6E0d41232da164ad7a91D4aE5D4277a42e1E3fC2,460.81
​0xD3AA1fE5D12C62eea28b768AE27C1f53B0B79181,328.78
​0x04270F910Cb26d18Fe353D106a91030Ee9A089fA,300.91
​0x49a2DcC237a65Cc1F412ed47E0594602f6141936,228.88
​0x8761e0DD63d14cf566aCf4b730f3540f164B6b56,148.06
​0x1f540E4D3211D393C31Fa343cFFD080D9B11b29e,104.17
​0x66e5dA2f5c6Ea150Fe319D7A0712196D3B2cF213,83.95
​0x13Dc08f5Ddbcbfdf6EBc04C909C3052A2aA7A111,78.52
​0xb7c5652dd01bF54b99059d3bD7281547e31Eee69,78.43
​0x5Cb0893AB4182a2Ca69788A695504e4Ff0dd221a,77.95
​0xf176db30f2177bbD85d498bF1e8975F9A26B38DB,67.82
​0x9b422e571eb2cb9837efDc4F9087194d65Fb070A,62.09
​0x85f205e17bb0733835Ac7A15bc279292A266e633,42.27
​0x000206732258D7511Fa624127228E6A032718E62,31.90
​0xd9ea912DeBC5C51aeA67633d67E9BfAe5291B20c,31.31
​0x5323d744aB62b94AF4df81c05830452a57e89ce9,30.99
Other,620.54
