provider,eth
​0x84D932657E12Cd993Bb4CDBb0CAc9f2350a54958,115.81
​0x0fEE9101E40787e64107C3DC585937c9f3DDB3a6,42.73
​0x7D079397ac107Ecc68307B14cEBb9cFF5B14ACb5,41.04
​0x36F0776d1f85d882524ff9a864A6d6160c5aB043,35.51
​0xF0572230A9E8239DD61D76eF05C76538DEc3d335,12.00
​0xF21908388875f9E6Ff6eFCDE7962400897401090,10.35
​0x4246719224A582c307DCB84CBD7f41ceAdb9A36d,9.65
​0x5975572A86B97f5D0bF17729C1491F848f210334,7.04
​0x1B230Ac24e85861A659073AeFE54dA1f581987b8,6.47
​0x1a2D4Efc833d4a32728B149b6FbaEb0b948d4BBe,5.22
​0x143e79A9E576FDdb5dE9AE144ecD0ad17a716179,5.20
​0x961cb2e469b836250B6a6F7A8Dc1Bb53C0F6Be13,3.53
​0x2FB698f2274485b0639a50a171b14eef57dCfB4D,3.45
Other,36.74
