provider,eth
​0xF5F8eE3e4C7dBdC2639946cD92B21CfFd4324652,210.79
​0x04270F910Cb26d18Fe353D106a91030Ee9A089fA,121.40
​0x05E11dE553a95955151d9815Ef96Ad0cd8dAF6de,115.21
​0x41175Dda5C99163EE0A7E30f436Ac0dB9C557ff4,54.13
​0x9D5291F6c4fd7fb16e83F69732B0bf21BE8c56E1,26.45
​0x5721fDF72E2E2F8B612e0ff35D58c6050fb9D614,22.47
​0x92b19a44c81Db4390CAF8FB28c495acEC8D3cB90,14.55
​0x14341f81dF14cA86E1420eC9e6Abd343Fb1c5bfC,14.02
​0x45d5f29911ac6f32ab33EE9Cf1357E495cbAF74e,10.43
​0xA4242b863e39eF335F35a6b9052e439f6f7FE0D7,8.86
​0x94Ff6185039382C2829296261cA27993479b1Ea5,8.29
​0x1125917201ed36700F86c3CecEC8C5DAfAe280D1,6.61
Other,30.30
