provider,eth
​0xa5f7a39E55D7878bC5bd754eE5d6BD7a7662355b,8813.69
​0xd084ab520D116dBE0069796fe542e767fb4B498C,2250.59
​0xa433105e7396070a5e1fDD7E2b2338F1bFa0de68,2231.90
​0x8A2F5d6D822611BDab08D306aA8F3E3942177417,1243.11
​0xa0f75491720835b36edC92D06DDc468D201e9b73,1020.34
​0xd64813E230B945E501aA1969D21Fb2072cB95930,981.66
​0xA6756D91a2700660D436375552F0ec14Aba7cC1b,916.78
​0xF731F4C74eaE61dFa88e0b6A13f9d2624bF2B16F,869.19
​0x691Ce62a208B195acCF54C39a98F1112C90046d1,796.43
​0x840921459c1c7F38260587a4aDA3A28287484af0,711.47
​0xD689b787c17E3133E6a3964446eAC7559d306227,614.88
​0xc5ef1C84EA5C570979DA35eB7C068687d15709ee,610.44
​0x43f3669d7dFbBa9798c2b62047a60Cd7F8F40CB2,561.89
​0xE9dF41eAD054F9a8E6Fe24A25071A3B571cB6446,519.28
​0x5d396a2106694308A40608Ef14A1C0892B6b7fAa,501.81
​0x449295e140Ea4a35ebDEaCFb47c52A7DF41A7D81,460.50
​0x09B8297e09Ad7b5c29a268181212DA0DB8Cd531d,456.44
​0x5398850A9399Da87624874704FEAa8A9C6C4089B,456.17
​0x0d7f2e43B77deb6E922640A4b7edc5b7E874Dd70,432.53
Other,16119.68
