timestamp,​0xce5702E94aD38C061e44a4a049Cc29261F992846,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x8e5272Cec02272e232C4C8bDd1d64D3a4AA532e5,​0x324C5d7AA1b3479aa7Ea9C92BE7b1A22Cb0a189B,​0xa2f77ed1CCE13C922f2EE9C323284D0dC7D34354,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x778FDaf34BB5993D69968f541152451241Fab7e3,​0xb00E81207bcDA63c9E290E0b748252418818c869,​0x00000000Af5A61acAf76190794E3fdf1289288A1,​0x409B512e1cf94500877C5353B2a0C13B2d24914F,​0x107B8C8a12f24f6bfec6aB480B4C843291e1575e,​0x96FE94c07Ee88fC2A4B3E978D875202fD113e654,​0x00000000016697Fa9A9C8e2889E28D3D9816A078,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0xea161aB775bE8374c9aed9E394D5b8711DcFc55f,​0x022865cCce84fa9F715207D047D78a05313dC86D,​0xB4b986d5467cb6167bee5e69F542d96238f4Aa43,Other
1554398543000,,,,,,,0.10,,0.15,,,,,,,,,,0.01
1554466199000,,,,,,,0.10,,,,,,,,,,,,
1554532618000,,,0.10,,,,,,,,,,,,,,,,
1554800647000,,,,,,,0.10,,,,,,,,,,,,
1554934968000,,,,,,,0.05,,,,,,,,,,,,
1555539993000,,,,,,,,,,,,,,,,,,,0.00
1555674728000,,,,,,,0.10,,,,,,,,,,,,
1556011928000,,,,,,,0.10,,,,,,,,,,,,
1556079702000,,,,,,,0.10,,,,,,,,,,,,
1556147660000,,,,,,,0.05,,,,,,,,,,,,
1556348416000,,,,,,,0.10,,,,,,,,,,,,
1556818035000,,,,,,,0.10,,,,,,,,,,,,
1556885912000,,,,,,,0.05,,,,,,,,,,,,
1557087154000,,,,,,,0.05,,,,,,,,,,,,
1557291012000,,,,,,,,,,,,0.11,,,,,,,
1557426851000,,,,,,,0.05,,,,,,,,,,,,
1557494292000,,,,,,,0.20,,,,,,,,,,,,
1557628854000,,,,,,,,,,,,0.11,,,,,,,
1557695794000,,,,,,,0.05,,,,,,,,,,,,
1557830231000,,,,,,,0.05,,,,,,,,,,,,
1558099488000,,,,,,,0.35,,,,0.11,,,,,,,,
1558166754000,,,,,,,0.05,,,,,,,,,,,,
1558301987000,,,,,,,0.10,,,,,,,,,,,,
1558709678000,,,,,,,0.05,,,,,,,,,,,,
1558776750000,,,,,,,,,,,0.03,,,,,,,,
1559112912000,,,,,,,,,,,0.10,,,,,,,,
1559247339000,,,,,,,,,,,0.14,,,,,,,,
1559788436000,,,,,,,0.25,0.25,,,1.14,,0.48,,,,,,
1559855826000,,,,,,,0.10,,,,0.09,,,0.12,,,,,
1559923832000,,,,,,,,,,,0.03,,,,,,,,
1559991921000,,,,,,,,,,,0.08,,,,,,,,
1560059515000,,,,,,,0.10,,,,0.05,,,0.05,,,,,
1560127542000,,,,,,,,,,,0.04,,,,,,,,
1560262359000,,,,,,,0.25,0.52,,,0.19,,0.23,,,,,,
1560329676000,,,,,,,,,,,0.08,,,0.04,,,,,
1560397568000,,,,,,,,,,,0.23,,,0.05,,,,,
1560464402000,,,,,,,0.10,,,,0.09,,,,,,,,
1560531936000,,,,,,,0.05,0.25,,,0.49,,,,,,,,
1560599838000,,,,,,,,,,,0.06,,,,,,,,
1560668105000,,,,,,,,,,,0.04,,,0.08,,,,,
1560734814000,,,,,,,0.15,,,,0.06,,,0.07,,,,,
1560870679000,,,,,,,,,,,,,,0.07,,,,,
1560937524000,,,,,,,,,,,0.13,,,,,,,,
1561005597000,,,,,,,,,,,0.04,,,,,,,,
1561073016000,,,,,,,,,,,0.04,,,,,,,,
1561140851000,,,,,,,0.05,,,,0.17,,,,,,,,
1561208281000,,,,,,,0.10,,,,0.07,,,,,,,,
1561476955000,,,,,,,,,,0.06,0.12,,,,,,,,
1561543836000,,,,,,,,,,,0.27,,,,,,,,
1561611356000,,,,,,,,,,,0.23,,,,,,,,
1561814305000,,,,,,,0.05,,,,,,,,,,,,
1561881035000,,0.05,,,,,,,,,,,,,,,,,
1561948615000,,,,,,,0.10,,,,,,,,,,,,
1562015969000,,0.04,,,,,,,,,,,,,,,,,
1562150796000,,0.04,,,,,,,,,,,,,,,,,
1562352854000,,0.04,,,,,0.15,,,,,,,,,,,,
1562419899000,,0.11,,,,,,,,,,,,,,,,,
1562486913000,,0.08,,,,,,,,,,,,,,,,,
1562620679000,,0.05,,,,,,,,,,,,,,,,,
1562687655000,,,,,,,,,,,,,,,,,,,0.00
1562755228000,,0.04,,,,,,,,,,,,,,,,,
1562889775000,,,,,,,0.05,,,,,,,,,,,,
1562957966000,,0.04,,,,,0.05,,,,,,,,,,,,
1563158482000,,0.05,,,,,,,,,,,,,,,,,
1563226501000,,0.05,,,,,,,,,,,,,,,,,
1563564858000,,0.04,,,,,,,,,,,,,,,,,
1563631313000,,0.03,,,,,,,,,,,,,,,,,
1563698150000,,,,,,,,,,,,,,,,,,,0.00
1563765551000,,0.04,,,,,,,,,,,,,,,,,
1563899459000,,0.05,,,,,,,,,,,,,,,,,
1564101403000,,0.13,,,,,0.05,,,,,,,,,0.09,,,
1564168317000,,0.04,,,,,0.10,,,,,,,,,0.09,,,
1564436686000,,0.20,,,,,0.05,,,,,,,,,,,,
1564503925000,,,,,,,0.05,,,,,,,,,,,,
1564570789000,,0.06,,,,,0.25,,,,,,,,,,,,
1564637313000,,0.03,,,,,,,,,,,,,,,,,
1564772699000,,0.21,,,,,0.20,,,,,,,,,,,,
1565106699000,,0.08,,,,,0.15,,,,,,,,,,,,
1565308246000,,0.04,,,,,0.05,,,,,,,,,0.03,,,
1565441736000,,0.04,,,,,,,,,,,,,,,,,
1565576260000,,0.07,,,,,,,,,,,,,,,,,
1565710691000,,0.04,,,,,,,,,,,,,,,,,
1565776959000,,0.03,,,,,,,,,,,,,,0.03,,,0.00
1565843533000,,0.04,,,,,,,,,,,,,,,,,
1565911450000,,,,,,,0.05,,,,,,,,,,,,
1565978340000,,0.05,,,,,,,,,,,,,,0.03,,,
1566179461000,,,,,,,,,,,,,,,,0.03,,,
1566314677000,,,,,,,,,,,,,,,,0.03,,,
1566516026000,,,,,,,,,,,,,,,,0.04,,,
1566851133000,,0.10,,,,,0.20,,,,,,,,,,,,
1567120257000,,0.05,,,,,0.05,,,,,,,,,,,,
1567321929000,,0.03,,,,,,,,,,,,,,,,,
1567457291000,,,,,,,,,,,,,,,,0.04,,,
1567591445000,,0.08,,0.10,,,,,,,,,,,,0.11,,,
1567996252000,,,,,,,0.05,,,,,,,,,,,,
1568535532000,,,,,,,0.10,,,,,,,,,,,,
1568603177000,,,,,,,,,,,,,,,,0.08,,,
1568871705000,,,,,,,0.15,,,,,,,,,,,,
1569412741000,,,,,,,0.25,,,,,,,,,,,,
1569480328000,,,,,,,0.10,,,,,,,,,,,,
1569885879000,,0.03,,,,,,,,,,,,,,,,,
1569953471000,,0.06,,,,,,,,,,,,,,,,,
1570021093000,,,,,,,,,,,,,,,0.03,,,,
1570223512000,,0.03,,,,,,,,,,,,,,,,,
1570290984000,,0.04,,,,,,,,,,,,,,,,,
1570560314000,,0.09,,,,,0.15,,,,,,,,,,,,
1570628456000,,0.03,,,,,,,,,,,,,,,,,
1570900657000,,0.04,,,,,,,,,,,,,,,,,
1570967603000,,0.12,,,,,0.05,,,,,,,,,,,,
1571036079000,,0.03,,,,,,,,,,,,,,,,,
1571103316000,,0.03,,,,,,,,,,,,,,,,,
1571307873000,,0.04,,,,,0.05,,,,,,,,,,,,
1571648150000,,0.03,,,,,,,,,,,,,,,,,
1571716619000,,0.13,,,,,,,,,,,,,,,,,
1571783991000,,0.08,,,,,,,,,,,,,,,,,
1571851268000,,0.05,,,,,0.10,,,,,,,,,,,,
1571920923000,,,,,,,0.20,,,,,,,,,,,,
