timestamp,​0x4d2f5cFbA55AE412221182D8475bC85799A5644b,​0xbD2a43799B83d9d0ff56B85d4c140bcE3d1d1c6c,​0x5FfB004C2a93D6E46C09f75d1565350F92f65C89,​0x1814222fa8c8c1C1bf380e3BBFBd9De8657Da476,​0xF5C7D9E5aa2b9B73e3B320D30Ef904c377754784,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0xDFf2AA5689FCBc7F479d8c84aC857563798436DD,​0x3F3e18aef051dC2b489CEf138BB9e224F78f7117,​0x80324Ec8d64425B37f8603A97097dA7D493dbc79,​0x2AD672FDA8a042c4c78C411bF9d4f1b320aA915a,Other
1573031855000,,,,,,,,,,,7.16
1573240765000,,,,,,,,,,,8.76
1573670409000,,,,,,,,,,,1.12
1573742983000,,,,,,,,,,,4.45
1574102523000,,,,,,3.86,,,,,
1574175364000,,,,,,261.37,,,,,2.50
1574248216000,,,,,,,,,,,0.03
1574319702000,,,,,,331.96,,,,,0.72
1574390894000,,,,,,993.30,,,,,
1574463158000,,,,,,373.80,,,,,1.33
1574534614000,,,,,,292.30,,,,,
1574677937000,,,,,,7.92,,,,,
1574753753000,,,,,,199.67,,,,,
1574829912000,,,,,,,,,,,1.22
1574906610000,,,,,,40.30,,,,,
1574982967000,,,,,,151.88,,,,,9.49
1575059347000,33.56,,,,,21.67,,,,,9.47
1575136068000,42.06,,,,,52.79,,,,,
1575212493000,15.27,,,,,44.85,,,,,0.03
1575288653000,30.35,,,,,25.12,,,,,0.27
1575366165000,,,,,,574.46,,,,,
1575519604000,131.67,,,,,217.86,,,,,
1575596839000,,,,,,39.67,,,,,1.15
1575673602000,69.47,,,,,333.92,,,,,2.67
1575749392000,84.21,,,,,105.28,,,,,0.12
1575826602000,,,,,,163.41,,,,,0.26
1575903384000,,,,,,341.69,,,,,0.96
1575979374000,52.13,,,,,467.00,,,,,2.14
1576056123000,,,,,,7.62,,,,,0.03
1576132843000,57.99,,,,,434.16,,,4.93,,2.37
1576208669000,66.48,,,,,481.76,,,,,
1576288118000,,,,,,13.85,,,,,
1576372313000,114.22,,,,,499.71,,,,,4.04
1576456679000,161.42,,,,,142.65,,,,,
1576541361000,48.61,,,,,111.36,,,,,0.18
1576627001000,,,,,,1.48,,,,,
1576713534000,,,,,,453.87,,,,,0.32
1576799699000,,,,,,811.57,,,,,
1576886273000,191.99,,,,,934.30,,,,,0.29
1576971438000,153.37,,,,,406.66,,,7.49,,
1577057861000,,,1.39,,,,,,,,
1577143907000,,,,,,38.99,,,13.96,,
1577229621000,177.68,,,,,155.96,,,,,0.59
1577315631000,35.87,,,,,240.53,,,,,
1577402327000,158.78,,,,,517.81,,,,,0.27
1577488582000,185.20,,0.40,,,466.28,,,3.86,,
1577573599000,163.65,,,,,175.07,,,,,1.99
1577659927000,146.04,1.08,,,,151.16,,,,,4.08
1577746179000,,4.08,,,,750.63,,,,,
1577832303000,,5.31,,,,706.59,,,,,7.24
1577918935000,,6.17,,,,421.65,,,,,6.69
1577997589000,,6.84,,,6.80,223.11,,,,,
1578063677000,,,,,,,,,,,2.67
1578129566000,,,,,6.67,378.56,,,,,
1578195701000,,,0.14,,,,,,,,7.14
1578261907000,,7.52,,,,261.89,,,,,
1578327837000,,,,,,138.51,,,,,10.19
1578393679000,,,,,,10.01,,,,,3.72
1578459841000,,,0.86,,,3.24,,,,,
1578526345000,,,,,10.39,643.54,,,,,0.57
1578592894000,,5.35,,,,116.66,,,,,
1578658814000,,,,,,71.21,,,,,5.59
1578724741000,,,,,,39.40,,,,,
1578790822000,,,,,,500.29,,,1.45,,0.13
1578857025000,,,,,,29.97,,,,,0.07
1578923015000,,11.87,,,,122.39,,,,,1.16
1578989540000,,,,,,21.09,,,,,0.10
1579055596000,,5.84,,,,346.75,,,,,7.32
1579122050000,,,,,,19.92,,,,,
1579188604000,,4.99,,,6.15,488.84,,,1.43,,
1579254375000,,4.99,0.52,,,50.29,,,,,
1579320115000,,5.36,,,,74.13,,,,,0.21
1579386588000,,10.49,,,,203.07,,,,,0.04
1579453251000,,,,,,41.86,,,,,
1579518909000,,,,,,25.27,,,,,0.68
1579584998000,,,,,,,,,,,3.34
1579650516000,,,0.40,,,9.40,,,,,0.01
1579717286000,,5.00,,,,394.82,,,,,18.32
1579783170000,,,,,,6.61,,,,,6.32
1579848954000,,,,,,23.50,,,,,
1579915579000,,5.00,,,5.72,333.57,,,,,0.02
1579982233000,,,,,,17.43,,,,,0.34
1580049245000,,,,,,8.47,,,,,
1580114658000,,,3.06,,5.00,184.38,,,,,0.03
1580180893000,,,,,5.08,5.57,,,,,0.12
1580247630000,,5.00,,,5.46,217.60,,,,4.02,
1580313366000,,,,,,182.65,,,,4.21,
1580380051000,,,,,,12.92,,,,4.15,
1580446477000,,,0.00,,,99.87,,,,,0.62
1580512997000,,,5.76,,5.00,10.55,,,,,0.89
1580579921000,,5.22,,,,39.99,,,,47.71,0.19
1580645575000,,5.00,1.54,,,135.96,,,,,0.11
1580711822000,,,1.50,,,2.40,,,,,0.32
1580778615000,,,,,,5.00,,,,,0.14
1580844182000,,,,,,12.99,,,,,
1580910496000,,,4.97,,,556.56,,,,925.04,4.07
1580977343000,,,,,,2.97,,,,,0.34
1581043789000,,,0.04,,,8.64,,,,,0.13
1581110121000,148.80,5.00,10.13,,3.19,89.09,,,,287.18,5.31
1581177428000,,,,,,28.13,,,,,0.20
1581243665000,,,,,,,,,,,0.13
1581310184000,,11.08,5.82,,,204.63,182.52,,,,
1581375300000,,,,,,122.43,35.80,,,,
1581441429000,,,0.71,,,11.77,,,,,0.33
1581508790000,,5.00,,,,69.06,136.49,,,,
1581574720000,,,,,4.99,0.92,,,,,0.00
1581641265000,,,,,,7.50,,,,,
1581707956000,,5.00,4.47,,5.27,195.15,,,,,0.07
1581907086000,,,,,,,,,,,0.53
1581973926000,,,,,,,,,,,0.20
1582040665000,,5.00,,,,227.74,1.72,,,,
