timestamp,​0x991698190B36B23A2802886bF751Ca14c8940814,​0x31790AC60C1c9a9F0005Dbc857E90Caf1C87Ba99,​0x2b75EaF1CE518b0B734bB542695d01d6FC4FbF27,​0x1afbe10CA8Cac0f6C96f96D67f365ebc9c6159b2,​0x97deC872013f6B5fB443861090ad931542878126,​0xD9BbA40594e8c3efFc2d2ed942fE78888761336d,​0xb8E17eDcD44E3CC08ABD1BF678C4C75A14d3E001,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x133F54e35a13E03aB4CE8b04C9A1389e85171199,​0xa0857045B77D00f335574b86751856D384122cFd,​0xfc96e234d4B31C63051E707105fCC4aba37807Fa,​0x191Ebd507E45Eb8685352b7aCa86c89c79e04416,Other
1581907086000,,,,,,,,0.55,,,,,
1589308656000,,,,,,,,,,,,0.04,
1589509055000,,,,,,,0.22,,0.20,0.05,,,
1589913105000,,,,,,,,,,,0.02,,
1589980117000,,,0.03,,,,,,,,,,
1590047677000,,,,,,,,,,,,,0.00
1590383553000,,,,0.54,,,,0.20,,,,,
1590517845000,,,,,,,,0.13,,,,,
1590786531000,,,,,0.03,,,,,,,,
1590919824000,0.32,,,,,0.02,,0.36,,,,,
1590987649000,,0.03,,,,,,,,,,,
