timestamp,​0x4d596Fb44DE482e74257f2464132f4e1D921d4f3,​0x34D30e2Fb5A343F21c57A9BD896C2518BD3f2B83,​0x827eA2C64d3f5093F632ab6DaA94EE8d7eEe0686,​0xF4B0e07B1010b9dc23d369069ab4F2192651D474,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x98686D724cC49DC58Ac5366fA268CCC968B1227d,​0x0c31b6605686aa26df47eb45AF0e4aa6639A5fd6,​0xB7Bd892B95fc2FaF5659404D9Aca1bfA164f0686,​0x97deC872013f6B5fB443861090ad931542878126,​0xA1bD817e13ED6Bb524ED491cff76C83aFEC773Ac,​0x280BF69d522BbCFb3aEb138C59D85A16e449057c,​0xfe32A37F15ee4a4b59715530E5817D1322B9df80,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x1297Ad486549A430d59D9d5f99eD7C216b6e77DD,​0x975d498E6Be6F5e35208A1f64D96C1Ac215c8a42,​0xf8fFF4959B9cDEaEB0FF03199D7e51cB438e92C6,​0x2E642b8D59B45a1D8c5aEf716A84FF44ea665914,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,​0x4BE0557d4aeB1675A1D5316e8a437dC934cfacE1,​0x3E55C1C091E3a15CdA8B0526438659974bff9Fcd,Other
1588371539000,,,,,0.73,,,,,,,,,,,,,,,,
1588438821000,,0.37,,,2.21,,,,0.10,,0.76,,0.27,,,,,,,,
1588506516000,,,,,3.16,,,,1.18,,1.40,,0.96,,,,,,,,
1588572377000,,0.35,,,12.68,,,,0.66,,3.67,1.20,,,,,,5.00,,,
1588638430000,,,,,3.21,,,0.31,0.09,,,,,,,,,,,,
1588705743000,,,,,4.42,,1.28,,2.15,,,,,,,,,,,,
1588771981000,,0.78,,,1.09,,0.88,,0.05,,,,1.09,,,,,,,,
1588839881000,,,,,17.98,,0.80,,,,1.99,,2.70,,,,,,,,0.22
1588906152000,,,,,2.70,,0.67,,,,1.59,1.48,0.88,,,,,,,,
1588972800000,,,,,14.34,,,,0.10,,1.11,2.14,0.45,,,1.51,,,,,
1589040204000,,,,,9.66,,,,0.04,,,,,,,0.90,,,,,
1589107927000,2.63,,0.53,,23.75,,1.38,,5.14,0.79,2.30,1.89,3.11,18.89,,,0.31,,4.09,,0.33
1589174391000,3.23,,,,2.34,,,,2.32,,,,,5.74,1.52,,,,1.22,,0.06
1589241093000,8.91,,,1.54,16.19,0.59,,,0.03,,12.67,,,2.26,1.67,,,,,1.30,0.39
1589308656000,1.25,,,,2.08,,,,,,,,,1.56,,,,,,,
1589375621000,4.06,,,,3.40,,,,,,,,,1.43,,,,,0.54,,
1589442351000,5.53,,,,1.93,,,,,,4.74,,,,,,,,1.34,,
1589509055000,6.43,,0.11,,2.77,,,,,,2.27,,,,0.90,,,,,,
