timestamp,​0x9709173Ed6F194a953a77204359DbFD0e88a54D0,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x121667B6690F5040C672c3Df912A5aAF8735Ca23,Other
1599859185000,,0.48,,
1599925296000,,0.48,,
1600257235000,,0.48,1.16,
1600323285000,,1.83,1.84,
1600456406000,,2.89,1.52,
1600522839000,,3.87,,
1600589122000,,1.47,,
1600654235000,,0.83,,
1600719844000,,0.93,,
1600852525000,,0.07,,
1600920149000,,0.77,,
1600986137000,,0.32,,
1601053079000,0.05,3.49,,
1601120014000,,0.37,,
1601187908000,,0.06,,
1601323528000,,0.42,,
1601390741000,,0.01,,
1601459154000,,0.51,,
1601525869000,,0.80,,
1601660827000,,0.32,,
1601728631000,,0.89,,
