timestamp,​0x354924f645E120B3E981e35B4964B79e63D6A27a,​0x61efDc88bb6Dc02A18DFB9a240800398599BAC64,​0x22F9dCF4647084d6C31b2765F6910cd85C178C18,​0x97deC872013f6B5fB443861090ad931542878126,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1605849265000,,,,,0.26,
1605915938000,,,,0.10,1.53,
1605982271000,,,,,6.56,
1606048118000,,,,,2.08,
1606114478000,,1.04,,,2.66,
1606181350000,,0.37,0.17,,7.85,
1606247275000,,1.03,,,3.80,
1606314098000,,,,,4.12,
1606380252000,,,,,2.12,
1606446290000,,,,,2.99,
1606513752000,,,,0.20,1.62,
1606579323000,,,,,5.74,
1606644580000,,,,0.23,4.67,
1606711814000,,,,,2.76,
1606777403000,,,,0.20,5.42,
1606843839000,,,,,3.73,
1606911253000,,,,0.97,0.83,
1606976748000,,,,,0.52,
1607043153000,,,,0.30,5.39,
1607109266000,0.40,,,,3.40,
1607176193000,,,,0.25,3.06,
