timestamp,​0x84443F61efc60D10DA9F9a2398980CD5748394BB,​0x9Ee1830ff376758c5Ecc7FB465f3b14d64116d71,​0x08204aB398De6A93ec680E3F8d653475D8Cb0E1f,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x7233E0D88Eb304ECD1156089e1d39bBDb1223463,​0x387ca78a5edf943d267b9248CCe1B0FDB67d0029,​0x5323d744aB62b94AF4df81c05830452a57e89ce9,​0x0E26D3d76a8c2ff2978859915519041eFd124Ab1,​0x4F532e0ae9954A85E5396F3E8d1876556317bFBA,Other
1579055596000,,,,0.45,,2.84,,,2.11,
1579122050000,,,,0.93,,,,,,
1579320115000,,,,,,,,,0.47,
1579386588000,,,,,,,,,0.46,
1579453251000,,,,0.46,,,,,,
1579584998000,,,,0.12,,,,,,
1579650516000,,,,,0.46,,,,,
1579717286000,,0.90,,,,,,,,
1579848954000,,,0.61,0.02,,,,,,
1579915579000,,,,,,,,0.46,,
1580049245000,,,,0.47,,,0.92,,,
1580512997000,0.45,,,,,,,,,
1580778615000,,,,,,,,,0.87,
