timestamp,​0xf77B344C270aC436ea5f1BBd3deA27674F051e1F,​0xeF5e089fB126AA0207Dbc6ae619C9E51Eb3bAAfc,​0x2E642b8D59B45a1D8c5aEf716A84FF44ea665914,​0x53e5b0867a89683055D0219936EdaF8296d39F94,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x5F23c6A69ECF67e13D0090c384b74723c6e208aa,​0xB847b9E1D849E31cbf2b7E55df322682Cb783a08,​0xB944d13b2f4047fc7bd3F7013bcf01b115fb260d,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x6dB408dE4f31F471afc030f1B93b8e4D614Dc0Cc,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x6076DC93F53E429aadcE69A4373C6EFC1f843f71,​0xE0436D4ebcb034E15A8C85F2A5C93acCA510A156,​0x1A96Db12AD7f0c9f91C538d16c39C360b5E8Fb21,​0x42c029e3536A8b83b0a5C1b3c2d611e1C03320Cc,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0xF173214C720f58E03e194085B1DB28B50aCDeeaD,​0x0E1E3d1869116c657081c69B1610D731e5488006,​0x28ac9A379Cac6ef28cC035C356027Acf353D22Ea,​0xb3Aa0868519381a140EfdBDc5049714b7E721F20,​0xcbBc678317C5DE5ab1C754b47369C84CEBE31817,​0x2AD672FDA8a042c4c78C411bF9d4f1b320aA915a,​0xAF4774798b5a9c6f831CAE5e56d8B12d25Ae3972,​0x9F92473Cce5dd539C76fD79C78aE5c8fAf706134,​0xCE0c61aBF9866FEf5767e102Cf227F294b3459E5,​0x7bE749F6f35f240dC35F4f4315dea2846a789B3A,​0xE9Ee1adA09599090840a4e15D7278aF5b338443C,​0x26cbD6410816F2843c7D976020AAf1E4F55Eb89F,​0x577D96754E7dBDDc5aa9787C139DB2e8026cf4aa,​0x3958B4eC427F8fa24eB60F42821760e88d485f7F,​0xdEB08D04004ea00BB6898D19267f7d3399E2827D,​0xb7d0596e636dBEc773075372868b14d5a224C0Fd,Other
1571716619000,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,
1571783991000,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,
1575749392000,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,
1575826602000,,,,,,,,,,,0.24,,,,,,,,0.53,,,,,,,,,,,,,,,,,
1575903384000,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
1575979374000,,,,,,,,,,,0.07,,,,,,,,0.06,,,,,,,,,,,,,,,,,
1576056123000,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576132843000,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,
1576208669000,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
1576288118000,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576372313000,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,0.24
1576456679000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1576541361000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1576627001000,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
1577315631000,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,0.02
1577573599000,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,
1577659927000,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,0.02
1577832303000,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,
1577918935000,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,0.04
1577997589000,,,,,,,0.87,,,,,,,,,2.95,,,0.01,,,,,,,,,,,,,,,,,0.15
1578063677000,,,,,,,,,,,2.79,,,,,,,,,,,,,,,,,,,,,,,,,
1578129566000,,,,,,,,2.83,,,0.58,,,,,,,,,,,,,,,0.50,,,,,,,,,,
1578195701000,,,,,,,,,,,,,,,,3.16,,,,,,,,,,,,,,,,,,,,
1578261907000,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,0.22,,,,,,,0.11
1578327837000,,,,,,,,,,,,,,,,2.86,,,,,,,,,,,,,,,,,,,,
1578393679000,,,,0.46,,,,,,,4.26,,,,,,0.15,,1.14,,,,,,,,,,,,,,3.14,,,
