timestamp,​0x1f2b4F6d4fDe86AB5b58d8a10FdCc6B2025615df,​0xC5fdA9b6258b392f120dB67202C605BF22c29853,​0xc80b37b716cb70503853612954C639f5a898b289,​0xC994F5c186500082D5E4a3Ead684F1CfA50EB894,​0x03c341408d0EDF502E702b9b24Ec305819357C56,​0x4161574d054c35C17023E3B87210EA6dA129dE9f,​0x042dBBDc27F75d277C3D99efE327DB21Bc4fde75,​0xa1855B0b29D78d52b6DaC7DBA859F0c4722E7d97,​0x66DCe44a16d17b9186F2Cc7E83249152936fCe08,​0xE3665b69b8fE475C334db2D51EFD50B5358D6659,​0xf83919e6C813F22234a38fac9777a5c5716b309F,​0xD1271B401Dd2ad0Cc4bd5124129E7679ECECd8D5,Other
1583767163000,,0.02,,0.03,,,,,,,0.01,,
1583833348000,0.01,,,,,,,,,,,,
1584234522000,,,,,0.01,,,,,,,,
1584300469000,,,0.00,,0.00,0.02,,,,,,,
1584367227000,,,,,,0.02,,,,,,,
1584434720000,,,,,,0.02,,,,,,,
1584500082000,,,,,,0.02,,,,,,,
1584699859000,,,,,,0.03,,,,,,,
1584766483000,,,,,,,0.03,,,,,,
1584833664000,,,,,,0.02,,0.01,,,,,
1584970249000,,,,,,,,,,,,0.02,
1585903293000,,,,,,,,,0.03,,,,
1586568529000,,,,,,,,,,0.01,,,
1586900049000,,,,,,0.02,,,,,,,
1586966921000,,,,,,0.01,,,,,,,
1587033174000,,,,,,0.01,,,,,,,
